year,Literatur,Johann Wolfgang von Goethe,Rezeption,Deutsch,Franz Kafka,Thomas Mann,Zwanzigstes Jahrhundert (nach  1945),Heinrich von Kleist,Lyrik,Bertolt Brecht,Zwanzigstes Jahrhundert (1914-1945),Friedrich Nietzsche,Literarisches Leben,Deutschland,Friedrich Schiller,Roman,Heinrich Heine,Rainer Maria Rilke,Walter Benjamin,Theodor Fontane,Hugo von Hofmannsthal
1985,170,355,56,73,93,64,1020,71,38,101,709,52,127,44,7,29,52,39,22,24,78,78
1986,168,370,89,80,102,76,781,67,25,82,671,39,100,48,17,34,40,72,40,42,70,70
1987,153,457,59,75,94,103,1081,67,45,84,602,36,109,37,14,41,40,35,23,44,72,72
1988,173,312,67,85,72,79,697,99,32,73,528,83,100,41,9,30,52,46,38,24,48,48
1989,163,297,91,108,81,79,11,59,51,94,7,46,83,56,10,41,49,46,34,46,60,60
1990,190,353,73,104,97,103,0,76,113,103,0,67,115,55,15,51,35,34,38,48,45,45
1991,204,350,106,117,68,99,0,82,87,58,0,57,110,63,12,33,52,32,32,50,104,104
1992,217,305,108,109,74,88,0,77,99,66,0,40,89,70,9,37,50,52,98,30,65,65
1993,238,354,93,133,109,89,0,93,124,46,0,59,103,64,7,57,34,81,46,43,82,82
1994,254,372,107,128,104,65,0,111,113,92,0,92,104,78,11,42,32,40,43,38,57,57
1995,319,340,122,117,77,75,0,76,155,74,0,89,146,77,15,35,56,67,34,46,107,107
1996,346,359,147,145,71,111,1,78,168,80,0,67,118,73,10,51,37,83,66,48,69,69
1997,279,368,136,124,116,96,0,99,131,73,0,66,112,69,9,50,160,46,39,40,67,67
1998,302,480,129,143,77,87,0,104,148,167,0,105,113,64,14,56,132,39,30,94,49,49
1999,283,914,165,141,67,99,0,124,154,101,0,97,97,66,14,38,91,88,30,63,58,58
2000,354,759,161,167,83,91,0,153,168,98,0,172,104,90,22,51,79,83,48,80,75,75
2001,310,597,188,172,71,120,0,126,123,86,0,132,103,70,10,48,59,71,54,54,76,76
2002,389,455,208,168,125,146,0,115,110,81,0,105,85,66,18,58,77,63,63,83,64,64
2003,427,280,303,199,125,135,0,150,101,71,0,83,87,92,32,59,51,54,41,83,42,42
2004,563,204,479,224,203,187,0,44,90,110,0,99,19,85,142,76,91,94,34,58,32,32
2005,627,215,484,272,144,198,0,49,86,82,0,74,37,71,354,85,80,61,75,68,29,29
2006,571,240,566,257,215,147,0,84,72,133,0,96,38,84,333,64,152,62,77,56,52,52
2007,681,332,615,324,203,147,0,123,97,109,0,84,45,104,222,73,157,78,61,80,62,62
2008,775,363,695,297,216,211,0,130,84,134,0,100,59,119,129,83,94,61,110,74,38,38
2009,746,341,808,313,138,150,0,116,94,109,0,117,54,110,203,103,83,109,92,59,57,57
2010,706,497,779,304,243,152,0,132,97,91,0,69,62,109,149,93,70,119,97,79,61,61
2011,694,418,748,367,210,153,0,246,90,130,0,96,57,110,168,86,77,61,91,65,70,70
2012,645,443,681,305,174,200,0,192,92,105,0,83,38,91,82,83,55,54,70,60,53,53
2013,694,401,883,305,191,175,0,291,117,101,0,76,76,106,150,121,47,56,96,79,48,48
2014,739,401,810,217,195,117,0,175,87,75,0,87,42,71,74,138,82,106,107,96,66,66
2015,763,374,753,207,162,148,0,137,110,122,0,79,74,99,89,183,65,60,70,62,50,50
2016,664,359,722,213,145,150,0,117,117,118,0,109,49,82,77,143,43,79,103,40,62,62
2017,658,360,700,184,133,144,0,77,136,114,0,134,71,69,110,103,47,61,92,41,47,47
2018,568,313,644,174,135,101,0,97,86,105,0,85,57,88,90,88,47,51,115,74,41,41
2019,309,269,390,103,111,78,0,71,72,44,0,72,50,45,33,80,17,37,56,96,17,17
