symbol,date,price
1914-1918,1985,1
1914-1918,1986,2
1914-1918,1987,0
1914-1918,1988,2
1914-1918,1989,3
1914-1918,1990,3
1914-1918,1991,1
1914-1918,1992,3
1914-1918,1993,1
1914-1918,1994,3
1914-1918,1995,0
1914-1918,1996,7
1914-1918,1997,4
1914-1918,1998,2
1914-1918,1999,4
1914-1918,2000,7
1914-1918,2001,3
1914-1918,2002,1
1914-1918,2003,5
1914-1918,2004,8
1914-1918,2005,4
1914-1918,2006,8
1914-1918,2007,5
1914-1918,2008,6
1914-1918,2009,5
1914-1918,2010,6
1914-1918,2011,7
1914-1918,2012,6
1914-1918,2013,17
1914-1918,2014,47
1914-1918,2015,46
1914-1918,2016,28
1914-1918,2017,18
1914-1918,2018,21
1914-1918,2019,16
Aufklärung,1985,9
Aufklärung,1986,11
Aufklärung,1987,10
Aufklärung,1988,9
Aufklärung,1989,22
Aufklärung,1990,16
Aufklärung,1991,17
Aufklärung,1992,21
Aufklärung,1993,18
Aufklärung,1994,20
Aufklärung,1995,12
Aufklärung,1996,21
Aufklärung,1997,29
Aufklärung,1998,25
Aufklärung,1999,23
Aufklärung,2000,22
Aufklärung,2001,27
Aufklärung,2002,21
Aufklärung,2003,19
Aufklärung,2004,9
Aufklärung,2005,11
Aufklärung,2006,16
Aufklärung,2007,18
Aufklärung,2008,15
Aufklärung,2009,20
Aufklärung,2010,20
Aufklärung,2011,15
Aufklärung,2012,23
Aufklärung,2013,31
Aufklärung,2014,14
Aufklärung,2015,25
Aufklärung,2016,33
Aufklärung,2017,23
Aufklärung,2018,33
Aufklärung,2019,7
Barock,1985,90
Barock,1986,69
Barock,1987,54
Barock,1988,26
Barock,1989,37
Barock,1990,4
Barock,1991,20
Barock,1992,7
Barock,1993,2
Barock,1994,1
Barock,1995,3
Barock,1996,0
Barock,1997,2
Barock,1998,1
Barock,1999,3
Barock,2000,4
Barock,2001,5
Barock,2002,4
Barock,2003,2
Barock,2004,12
Barock,2005,3
Barock,2006,6
Barock,2007,3
Barock,2008,4
Barock,2009,3
Barock,2010,5
Barock,2011,8
Barock,2012,8
Barock,2013,7
Barock,2014,10
Barock,2015,0
Barock,2016,3
Barock,2017,6
Barock,2018,3
Barock,2019,2
Brief,1985,1
Brief,1986,1
Brief,1987,4
Brief,1988,6
Brief,1989,6
Brief,1990,4
Brief,1991,10
Brief,1992,4
Brief,1993,10
Brief,1994,1
Brief,1995,8
Brief,1996,12
Brief,1997,6
Brief,1998,7
Brief,1999,12
Brief,2000,7
Brief,2001,7
Brief,2002,16
Brief,2003,21
Brief,2004,25
Brief,2005,32
Brief,2006,30
Brief,2007,29
Brief,2008,33
Brief,2009,16
Brief,2010,48
Brief,2011,43
Brief,2012,34
Brief,2013,53
Brief,2014,37
Brief,2015,46
Brief,2016,52
Brief,2017,24
Brief,2018,36
Brief,2019,34
Edition,1985,13
Edition,1986,8
Edition,1987,14
Edition,1988,14
Edition,1989,15
Edition,1990,15
Edition,1991,48
Edition,1992,18
Edition,1993,39
Edition,1994,16
Edition,1995,39
Edition,1996,22
Edition,1997,44
Edition,1998,50
Edition,1999,20
Edition,2000,32
Edition,2001,22
Edition,2002,31
Edition,2003,29
Edition,2004,36
Edition,2005,71
Edition,2006,52
Edition,2007,48
Edition,2008,60
Edition,2009,65
Edition,2010,74
Edition,2011,48
Edition,2012,49
Edition,2013,73
Edition,2014,92
Edition,2015,91
Edition,2016,99
Edition,2017,95
Edition,2018,57
Edition,2019,41
Erinnerung,1985,0
Erinnerung,1986,1
Erinnerung,1987,0
Erinnerung,1988,0
Erinnerung,1989,1
Erinnerung,1990,2
Erinnerung,1991,3
Erinnerung,1992,1
Erinnerung,1993,5
Erinnerung,1994,1
Erinnerung,1995,3
Erinnerung,1996,3
Erinnerung,1997,7
Erinnerung,1998,17
Erinnerung,1999,6
Erinnerung,2000,7
Erinnerung,2001,5
Erinnerung,2002,20
Erinnerung,2003,23
Erinnerung,2004,19
Erinnerung,2005,21
Erinnerung,2006,17
Erinnerung,2007,21
Erinnerung,2008,36
Erinnerung,2009,35
Erinnerung,2010,33
Erinnerung,2011,32
Erinnerung,2012,43
Erinnerung,2013,40
Erinnerung,2014,34
Erinnerung,2015,47
Erinnerung,2016,29
Erinnerung,2017,34
Erinnerung,2018,28
Erinnerung,2019,17
Exil,1985,3
Exil,1986,8
Exil,1987,3
Exil,1988,7
Exil,1989,3
Exil,1990,15
Exil,1991,10
Exil,1992,10
Exil,1993,14
Exil,1994,15
Exil,1995,19
Exil,1996,11
Exil,1997,16
Exil,1998,29
Exil,1999,7
Exil,2000,14
Exil,2001,16
Exil,2002,20
Exil,2003,18
Exil,2004,8
Exil,2005,27
Exil,2006,27
Exil,2007,27
Exil,2008,28
Exil,2009,28
Exil,2010,30
Exil,2011,19
Exil,2012,30
Exil,2013,52
Exil,2014,23
Exil,2015,25
Exil,2016,19
Exil,2017,48
Exil,2018,32
Exil,2019,14
Film,1985,5
Film,1986,2
